cob,properties.article,properties.headline,properties.color
Italy,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Paolo Sorrentino: 7 votes</p><p> Nanni Moretti: 5 votes</p><p> Luca Guadagnino: 2 votes</p><p> Ermanno Olmi: 2 votes</p><p> Pietro Marcello: 1 vote</p><p> Franco Piavoli: 1 vote</p><p> Marco Bellocchio: 1 vote</p><p> Michelangelo Frammartino: 1 vote</p><p> Paolo Benvenuti: 1 vote</p><p> Roberto Benigni: 1 vote</p><P>Michelangelo Antonioni: 1 vote</P></div>,11directors,#35476E
Japan,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Hirokazu Koreeda: 4 votes</p><p> Kiyoshi Kurosawa: 4 votes</p><p> Kinji Fukasaku: 1 vote</p><p> Satoshi Kon: 1 vote</p><p> Sion Sono: 1 vote</p><p> Takahisa Zeze: 1 vote</p><p> Takeshi Kitano: 1 vote</P></div>,7 directors,#35476E
Kenya,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Gurinder Chadha: 1 vote</P></div>,1 director,#35476E
Lithuania,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Jonas Mekas: 1 vote</P></div>,1 director,#35476E
Mauritania,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Abderrahmane Sissako: 11 votes</P></div>,1 director,#35476E
Mexico,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Alfonso Cuarón: 24 votes</p><p> Guillermo Del Toro: 17 votes</p><p> Alejandro González Iñárritu: 11 votes</p><p> Carlos Reygadas: 3 votes</P></div>,4 directors,#35476E
New Zealand,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Martin Campbell: 4 votes</p><p> Peter Jackson: 3 votes</p><p> Andrew Dominik: 3 votes</p><p> Richard Curtis: 1 vote</p><p> Jane Campion: 1 vote</P></div>,5 directors,#35476E
Palestine,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Elia Suleiman: 2 votes</P></div>,1 director,#35476E
Philippines,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Lav Diaz: 4 votes</P></div>,1 director,#35476E
Poland,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Paweł Pawlikowski: 6 votes</p><p> Agnieszka Holland: 1 vote</P></div>,2 directors,#35476E
Portugal,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Pedro Costa: 4 votes</p><p> João Pedro Rodrigues: 1 vote</p><p>Manoel de Oliveira: 2 votes</P></div>,3 directors,#35476E
Puerto Rico,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Miguel Arteta: 1 vote</P></div>,1 director,#35476E
Romania,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Cristian Mungiu: 18 votes</p><p> Cristi Puiu: 4 votes</p><p> Corneliu Porumboiu: 1 vote</P></div>,3 directors,#35476E
South Africa,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Neill Blomkamp: 3 votes</p><p> Oliver Schmitz: 1 vote</P></div>,2 directors,#35476E
South Korea,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Park Chan-wook: 12 votes</p><p> Bong Joon-ho: 7 votes</p><p> Lee Chang-dong: 6 votes</p><p> Kim Ki-duk: 6 votes</p><p> Hong Sang-soo: 2 votes</p><p> Kim Jee-woon: 1 vote</P></div>,6 directors,#35476E
Russia,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Andrey Zvyagintsev: 15 votes</p><p> Aleksandr Sokurov: 5 votes</p><p>Aleksey Fedorchenko: 2 votes</p><p> Andrzej Zulawski: 1 vote</P></div>,4 directors,#35476E
Spain,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Pedro Almodóvar: 16 votes</p><p> Albert Serra: 1 vote</p><p> Carlos Saura: 1 vote</p><p> J. A. Bayona: 1 vote</p><p> Víctor Erice: 1 vote</P></div>,5 directors,#35476E
Sweden,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Roy Andersson: 6 votes</p><p> Tomas Alfredson: 4 votes</p><p> Lukas Moodysson: 2 votes</p><p> Gabriela Pichler: 1 vote</p><p> Ingmar Bergman: 1 vote</P></div>,5 directors,#35476E
Syria,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Ossama Mohammed: 1 vote</P></div>,1 director,#35476E
Taiwan,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Ang Lee: 21 votes</P></div>,1 director,#35476E
Tunisia,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Abdellatif Kechiche: 7 votes</p><p> Nouri Bouzid: 1 vote</P></div>,2 directors,#35476E
Turkey,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Nuri Bilge Ceylan: 15 votes</P></div>,1 director,#35476E
United States of America,<div class='movie_list'><h1><b>Top Directors</b></h1><P>Paul Thomas Anderson: 52 votes</p><p> David Lynch: 47 votes</p><p> Richard Linklater: 39 votes</p><p> Terrence Malick: 32 votes</p><p> David Fincher: 31 votes</p><p> Wes Anderson: 28 votes</p><p> Joshua Oppenheimer: 20 votes</p><p> Kenneth Lonergan: 16 votes</p><p> Sofia Coppola: 15 votes</p><p> Steve McQueen: 15 votes</p><p> Spike Lee: 14 votes</p><p> Charlie Kaufman: 12 votes</p><p> Andrew Stanton: 12 votes</p><p> Todd Haynes: 12 votes</p><p> Kathryn Bigelow: 11 votes</p><p> Spike Jonze: 9 votes</p><p> Steven Spielberg: 9 votes</p><p>Steven Soderbergh: 4 votes</p><p> Pete Docter: 8 votes</p><p> Martin Scorsese: 8 votes</p><p> Jim Jarmusch: 7 votes</p><p> Harmony Korine: 7 votes</p><p> Alexander Payne: 6 votes</p><p> Darren Aronofsky: 6 votes</p><p> Ava DuVernay: 6 votes</p><p> Julian Schnabel: 5 votes</p><p> Brian De Palma: 5 votes</p><p> Don Hertzfeldt: 5 votes</p><p> Cameron Crowe: 4 votes</p><p> Ryan Coogler: 4 votes</p><p> Adam McKay: 3 votes</p><p>Miranda July: 2 votes</p><p> Joseph Cedar: 1 vote</p><p> Kelly Reichardt: 3 votes</p><p> Derek Cianfrance: 3 votes</p><p> Lee Unkrich: 3 votes</p><p> Noah Baumbach: 3 votes</p><p> Brad Bird: 3 votes</p><p> Paul Feig: 3 votes</p><p>Mark Neveldine and Brian Taylor: 1 vote</p><p> George Clooney: 2 votes</p><p> Benh Zeitlin: 2 votes</p><p> Ben Stiller: 2 votes</p><p> Terry Zwigoff: 2 votes</p><p> Tony Gilroy: 2 votes</p><p> Gina Prince-Bythewood: 2 votes</p><p> Damien Chazelle: 2 votes</p><p> Michael Mann: 2 votes</p><p> Rian Johnson: 2 votes</p><<p> Michael Moore: 2 votes</p><p> Rick Alverson: 2 votes</p><p> J. J. Abrams: 2 votes</p><p> Robert Altman: 2 votes</p><p> Christian Marclay: 1 vote</p><p> Dan Gilroy: 1 vote</p><p> Joss Whedon: 1 vote</p><p> Philip Kaufman: 1 vote</p><p> Patty Jenkins: 1 vote</p><p> Sam Raimi: 1 vote</p><p> Kevin Costner: 1 vote</p><p> Nina Paley: 1 vote</p><p> Cary Joji Fukunaga: 1 vote</p><p> Nick Cassavetes: 1 vote</p><p> Mel Gibson: 1 vote</p><p> Debra Granik: 1 vote</p><p> John Cameron Mitchell: 1 vote</p><p> Francis Ford Coppola: 1 vote</p><p> Shane Black: 1 vote</p><p> Michael Bay: 1 vote</p><p> Sidney Lumet: 1 vote</p><p> Frederick Wiseman: 1 vote</p><p> Greg Mottola: 1 vote</p><p> S. Craig Zahler: 1 vote</p><p> Robert Zemeckis: 1 vote</p><p> Eytan Fox: 1 vote</p><p> David Wain: 1 vote</p><p> Rob Marshall: 1 vote</p><p> Tom Ford: 1 vote</p><p> Jeff Nichols: 1 vote</p><p> Tommy Lee Jones: 1 vote</p><p> Jeff Tremaine: 1 vote</p><p> Trey Parker: 1 vote</p><p> George Lucas: 1 vote</p><p> Shane Carruth: 1 vote</p><p> Anthony and Joe Russo: 1 vote</P></div>,85 directors,#35476E
